YG CELL NAME,YG NOMINAL CELL NAME,YG WIDTH,YG HEIGHT,YG DEVCOUNT
yg0cam01nd1g5,yg0cam01nd1g5,3.48,3.132,79
yg0cam01nn1a0,yg0cam01nn1a0,0.696,1.566,6
yg0cam01nn1a3,yg0cam01nn1a3,0.696,1.566,6
yg0cam01nn1a5,yg0cam01nn1a5,0.696,1.566,6
yg0cam01nn1a7,yg0cam01nn1a7,0.696,1.566,6
yg0cam01nn1b0,yg0cam01nn1b0,1.044,1.566,10
yg0cam01nn1b3,yg0cam01nn1b3,1.044,1.566,10
yg0cam01nn1b5,yg0cam01nn1b5,1.044,1.566,10
yg0cam01nn1b7,yg0cam01nn1b7,1.044,1.566,10
yg0cam01nn1c0,yg0cam01nn1c0,1.044,1.566,12
yg0cam01nn1c3,yg0cam01nn1c3,1.16,1.566,13
yg0cam01nn1c5,yg0cam01nn1c5,1.16,1.566,13
yg0cam01nn1c7,yg0cam01nn1c7,1.16,1.566,16
yg0cam01nn1d0,yg0cam01nn1d0,1.276,1.566,16
yg0cam01nn1d3,yg0cam01nn1d3,1.508,1.566,19
yg0cam01nn1d5,yg0cam01nn1d5,1.508,1.566,19
yg0cam01nn1d7,yg0cam01nn1d7,1.856,1.566,22
yg0cam01nn1e0,yg0cam01nn1e0,1.856,1.566,24
yg0cam01nn1e3,yg0cam01nn1e3,2.204,1.566,27
yg0cam01nn1e5,yg0cam01nn1e5,2.436,1.566,31
yg0cam01nn1e7,yg0cam01nn1e7,2.552,1.566,33
yg0cam02ld1e0,yg0cam02nd1e0,2.088,3.132,39
yg0cam02ld1f0,yg0cam02nd1f0,3.132,3.132,63
yg0cam02ln1a0,yg0cam02nn1a0,1.044,1.566,10
yg0cam02ln1b0,yg0cam02nn1b0,1.392,1.566,14
yg0cam02ln1c0,yg0cam02nn1c0,1.624,1.566,18
yg0cam02ln1d0,yg0cam02nn1d0,2.088,1.566,26
yg0cam02nd1e0,yg0cam02nd1e0,2.088,3.132,39
yg0cam02nd1f0,yg0cam02nd1f0,3.132,3.132,63
yg0cam02nn1a0,yg0cam02nn1a0,1.044,1.566,10
yg0cam02nn1b0,yg0cam02nn1b0,1.392,1.566,14
