AI CELL NAME,ai0cld WIDTH,ai0cld HEIGHT,ai0study WIDTH,ai0study HEIGHT,ai3study WIDTH,ai3study HEIGHT,ai7study WIDTH,ai7study HEIGHT
ai0mtn22nn0d0,,,0.9,1.14,,,,
ai0mxn03nnhc0,,,1.35,1.14,,,,
ai0mxn03nnhf0,,,1.8,1.14,,,,
ai0mxn04nnhg0,,,2.7,1.14,,,,
ai0mxn05nnhf0,,,2.52,1.14,,,,
ai0mxn22lnhc0,,,0.81,1.14,,,,
ai0mxn22lnhd0,,,0.81,1.14,,,,
ai0mxn22nnhc0,,,0.81,1.14,,,,
ai0mxn22nnhd0,,,0.81,1.14,,,,
ai0mxn22nnhe0,,,0.9,1.14,,,,
ai0mxn22nnhf0,,,1.26,1.14,,,,
ai0mxn22nnhg0,,,1.71,1.14,,,,
ai0nan02ln0a5,,,0.36,1.14,,,,
ai0nan02ln0a7,,,0.36,1.14,,,,
ai0nan02ln0b3,,,0.36,1.14,,,,
ai0nan02ln0b7,,,0.36,1.14,,,,
ai0nan02ln0c0,,,0.36,1.14,,,,
ai0nan02ln0c3,,,0.36,1.14,,,,
ai0nan02ln0c5,,,0.36,1.14,,,,
ai0nan02ln0c7,,,0.36,1.14,,,,
ai0nan02ln0d0,,,0.36,1.14,,,,
ai0nan02ln0d3,,,0.36,1.14,,,,
ai0nan02ln0d5,,,0.54,1.14,,,,
ai0nan02ln0d7,,,0.54,1.14,,,,
ai0nan02ln0e0,,,0.54,1.14,,,,
ai0nan02ln0e3,,,0.54,1.14,,,,
ai0nan02ln0e5,,,0.54,1.14,,,,
ai0nan02ln0e7,,,0.72,1.14,,,,
ai0nan02ln0f0,,,0.72,1.14,,,,
ai0nan02ln0f3,,,0.72,1.14,,,,
ai0nan02ln0f5,,,0.9,1.14,,,,
ai0nan02ln0f7,,,0.9,1.14,,,,
ai0nan02ln0g0,,,1.08,1.14,,,,
ai0nan02ln0g3,,,1.08,1.14,,,,
ai0nan02ln0g5,,,1.26,1.14,,,,
ai0nan02ln0g7,,,1.26,1.14,,,,
ai0nan02ln0h0,,,1.62,1.14,,,,
ai0nan02ln0h3,,,1.62,1.14,,,,
ai0nan02ln0h5,,,1.8,1.14,,,,
ai0nan02ln0h7,,,1.98,1.14,,,,
ai0nan02ln0i0,,,2.34,1.14,,,,
ai0nan02ln0i3,,,2.7,1.14,,,,
ai0nan02ln0i5,,,3.42,1.14,,,,
ai0nan02nn0a5,,,0.36,1.14,,,,
ai0nan02nn0a7,,,0.36,1.14,,,,
ai0nan02nn0b3,,,0.36,1.14,,,,
ai0nan02nn0b7,,,0.36,1.14,,,,
ai0nan02nn0c0,,,0.36,1.14,,,,
ai0nan02nn0c3,,,0.36,1.14,,,,
ai0nan02nn0c5,,,0.36,1.14,,,,
ai0nan02nn0c7,,,0.36,1.14,,,,
ai0nan02nn0d0,,,0.36,1.14,,,,
ai0nan02nn0d3,,,0.36,1.14,,,,
ai0nan02nn0d5,,,0.54,1.14,,,,
ai0nan02nn0d7,,,0.54,1.14,,,,
ai0nan02nn0e0,,,0.54,1.14,,,,
ai0nan02nn0e3,,,0.54,1.14,,,,
ai0nan02nn0e5,,,0.54,1.14,,,,
ai0nan02nn0e7,,,0.72,1.14,,,,
ai0nan02nn0f0,,,0.72,1.14,,,,
ai0nan02nn0f3,,,0.72,1.14,,,,
ai0nan02nn0f5,,,0.9,1.14,,,,
ai0nan02nn0f7,,,0.9,1.14,,,,
ai0nan02nn0g0,,,1.08,1.14,,,,
ai0nan02nn0g3,,,1.08,1.14,,,,
ai0nan02nn0g5,,,1.26,1.14,,,,
ai0nan02nn0g7,,,1.26,1.14,,,,
ai0nan02nn0h0,,,1.62,1.14,,,,
ai0nan02nn0h3,,,1.62,1.14,,,,
ai0nan02nn0h5,,,1.8,1.14,,,,
ai0nan02nn0h7,,,1.98,1.14,,,,
ai0nan02nn0i0,,,2.34,1.14,,,,
ai0nan02nn0i3,,,2.7,1.14,,,,
ai0nan02nn0i5,,,3.42,1.14,,,,
ai0nan03ln0a7,,,0.45,1.14,,,,
ai0nan03ln0b3,,,0.45,1.14,,,,
ai0nan03ln0c0,,,0.45,1.14,,,,
ai0nan03ln0c5,,,0.45,1.14,,,,
ai0nan03ln0c7,,,0.45,1.14,,,,
ai0nan03ln0d0,,,0.45,1.14,,,,
ai0nan03ln0d5,,,0.81,1.14,,,,
ai0nan03ln0d7,,,0.81,1.14,,,,
ai0nan03ln0e0,,,0.81,1.14,,,,
ai0nan03ln0e3,,,0.81,1.14,,,,
ai0nan03ln0e5,,,0.81,1.14,,,,
ai0nan03ln0e7,,,0.99,1.14,,,,
ai0nan03ln0f0,,,0.99,1.14,,,,
ai0nan03ln0f3,,,0.99,1.14,,,,
ai0nan03ln0f5,,,1.35,1.14,,,,
ai0nan03ln0f7,,,1.35,1.14,,,,
ai0nan03ln0g0,,,1.53,1.14,,,,
ai0nan03ln0g3,,,1.53,1.14,,,,
ai0nan03ln0g5,,,1.89,1.14,,,,
ai0nan03ln0g7,,,1.89,1.14,,,,
ai0nan03ln0h0,,,2.43,1.14,,,,
ai0nan03ln0h3,,,2.61,1.14,,,,
ai0nan03ln0h5,,,2.97,1.14,,,,
ai0nan03ln0h7,,,3.15,1.14,,,,
ai0nan03ln0i0,,,3.69,1.14,,,,
ai0nan03nn0a7,,,0.45,1.14,,,,
ai0nan03nn0b3,,,0.45,1.14,,,,
ai0nan03nn0c0,,,0.45,1.14,,,,
ai0nan03nn0c5,,,0.45,1.14,,,,
ai0nan03nn0c7,,,0.45,1.14,,,,
ai0nan03nn0d0,,,0.45,1.14,,,,
ai0nan03nn0d5,,,0.81,1.14,,,,
ai0nan03nn0d7,,,0.81,1.14,,,,
ai0nan03nn0e0,,,0.81,1.14,,,,
ai0nan03nn0e3,,,0.81,1.14,,,,
ai0nan03nn0e5,,,0.81,1.14,,,,
ai0nan03nn0e7,,,0.99,1.14,,,,
ai0nan03nn0f0,,,0.99,1.14,,,,
ai0nan03nn0f3,,,0.99,1.14,,,,
ai0nan03nn0f5,,,1.35,1.14,,,,
ai0nan03nn0f7,,,1.35,1.14,,,,
ai0nan03nn0g0,,,1.53,1.14,,,,
ai0nan03nn0g3,,,1.53,1.14,,,,
ai0nan03nn0g5,,,1.89,1.14,,,,
ai0nan03nn0g7,,,1.89,1.14,,,,
ai0nan03nn0h0,,,2.43,1.14,,,,
ai0nan03nn0h3,,,2.61,1.14,,,,
ai0nan03nn0h5,,,2.97,1.14,,,,
ai0nan03nn0h7,,,3.15,1.14,,,,
ai0nan03nn0i0,,,3.69,1.14,,,,
ai0nan22ln0c0,,,0.36,1.14,,,,
ai0nan22ln0c5,,,0.36,1.14,,,,
ai0nan22ln0c7,,,0.36,1.14,,,,
ai0nan22ln0d0,,,0.36,1.14,,,,
ai0nan22ln0d5,,,0.54,1.14,,,,
ai0nan22ln0d7,,,0.54,1.14,,,,
ai0nan22ln0e0,,,0.54,1.14,,,,
ai0nan22ln0e3,,,0.54,1.14,,,,
ai0nan22ln0e5,,,0.54,1.14,,,,
ai0nan22ln0e7,,,0.72,1.14,,,,
ai0nan22ln0f0,,,0.72,1.14,,,,
ai0nan22ln0f3,,,0.72,1.14,,,,
ai0nan22ln0f5,,,0.9,1.14,,,,
ai0nan22ln0f7,,,0.9,1.14,,,,
ai0nan22ln0g0,,,1.08,1.14,,,,
ai0nan22ln0g3,,,1.26,1.14,,,,
ai0nan22ln0g5,,,1.26,1.14,,,,
ai0nan22ln0g7,,,1.44,1.14,,,,
ai0nan22ln0h0,,,1.62,1.14,,,,
ai0nan22ln0h3,,,1.8,1.14,,,,
ai0nan22ln0h5,,,1.98,1.14,,,,
ai0nan22ln0h7,,,2.16,1.14,,,,
ai0nan22ln0i0,,,2.52,1.14,,,,
